Date,Ticker,Gtrend
2017-05-02,BTC-USD,20
2017-05-03,BTC-USD,20
2017-05-04,BTC-USD,25
2017-05-05,BTC-USD,23
2017-05-06,BTC-USD,21
2017-05-07,BTC-USD,20
2017-05-08,BTC-USD,22
2017-05-09,BTC-USD,27
2017-05-10,BTC-USD,25
2017-05-11,BTC-USD,28
2017-05-12,BTC-USD,32
2017-05-13,BTC-USD,34
2017-05-14,BTC-USD,29
2017-05-15,BTC-USD,41
2017-05-16,BTC-USD,36
2017-05-17,BTC-USD,29
2017-05-18,BTC-USD,27
2017-05-19,BTC-USD,30
2017-05-20,BTC-USD,30
2017-05-21,BTC-USD,31
2017-05-22,BTC-USD,56
2017-05-23,BTC-USD,60
2017-05-24,BTC-USD,66
2017-05-25,BTC-USD,16
2017-05-26,BTC-USD,13
2017-05-27,BTC-USD,10
2017-05-28,BTC-USD,7
2017-05-29,BTC-USD,7
2017-05-30,BTC-USD,7
2017-05-31,BTC-USD,7
2017-06-01,BTC-USD,6
2017-06-02,BTC-USD,6
2017-06-03,BTC-USD,5
2017-06-04,BTC-USD,5
2017-06-05,BTC-USD,6
2017-06-06,BTC-USD,9
2017-06-07,BTC-USD,8
2017-06-08,BTC-USD,6
2017-06-09,BTC-USD,6
2017-06-10,BTC-USD,6
2017-06-11,BTC-USD,6
2017-06-12,BTC-USD,9
2017-06-13,BTC-USD,7
2017-06-14,BTC-USD,7
2017-06-15,BTC-USD,9
2017-06-16,BTC-USD,6
2017-06-17,BTC-USD,5
2017-06-18,BTC-USD,5
2017-06-19,BTC-USD,5
2017-06-20,BTC-USD,6
2017-06-21,BTC-USD,6
2017-06-22,BTC-USD,6
2017-06-23,BTC-USD,5
2017-06-24,BTC-USD,5
2017-06-25,BTC-USD,5
2017-06-26,BTC-USD,6
2017-06-27,BTC-USD,7
2017-06-28,BTC-USD,7
2017-06-29,BTC-USD,5
2017-06-30,BTC-USD,5
2017-07-01,BTC-USD,5
2017-07-02,BTC-USD,5
2017-07-03,BTC-USD,5
2017-07-04,BTC-USD,5
2017-07-05,BTC-USD,5
2017-07-06,BTC-USD,5
2017-07-07,BTC-USD,5
2017-07-08,BTC-USD,5
2017-07-09,BTC-USD,5
2017-07-10,BTC-USD,5
2017-07-11,BTC-USD,6
2017-07-12,BTC-USD,6
2017-07-13,BTC-USD,5
2017-07-14,BTC-USD,5
2017-07-15,BTC-USD,6
2017-07-16,BTC-USD,6
2017-07-17,BTC-USD,6
2017-07-18,BTC-USD,6
2017-07-19,BTC-USD,6
2017-07-20,BTC-USD,6
2017-07-21,BTC-USD,6
2017-07-22,BTC-USD,5
2017-07-23,BTC-USD,5
2017-07-24,BTC-USD,5
2017-07-25,BTC-USD,6
2017-07-26,BTC-USD,5
2017-07-27,BTC-USD,5
2017-07-28,BTC-USD,6
2017-07-29,BTC-USD,5
2017-07-30,BTC-USD,5
2017-07-31,BTC-USD,6
2017-08-01,BTC-USD,13
2017-08-02,BTC-USD,11
2017-08-03,BTC-USD,7
2017-08-04,BTC-USD,6
2017-08-05,BTC-USD,8
2017-08-06,BTC-USD,7
2017-08-07,BTC-USD,9
2017-08-08,BTC-USD,9
2017-08-09,BTC-USD,8
2017-08-10,BTC-USD,7
2017-08-11,BTC-USD,7
2017-08-12,BTC-USD,9
2017-08-13,BTC-USD,11
2017-08-14,BTC-USD,14
2017-08-15,BTC-USD,14
